제품명,제조사,카테고리1,카테고리2,표준중량/규격
바이오필플레인,매일유업,음료,유제품/요구르트,63mlx25
박카스,동아제약,음료,건강음료/의약외품,100ml
발효홍삼골드,기타제조사,과자,스낵,100g
밤+팥양갱,해태제과,과자,젤리/양갱,500g
배배,오리온,과자,비스킷/쿠키,80g
버터링골드,해태제과,과자,비스킷/쿠키,194g
버터링딥라즈베리,해태제과,과자,비스킷/쿠키,155g
버터링딥초코,해태제과,과자,비스킷/쿠키,155g
버터링딥피스타치오&아몬드,해태제과,과자,비스킷/쿠키,155g
버터와플,크라운제과,과자,비스킷/쿠키,135g
벌집핏자,농심,과자,스낵,90g
별난바,기타제조사,과자,아이스크림,70g
보석바,롯데웰푸드,과자,아이스크림,80g
복분자,기타제조사,과자,스낵,100g
복숭아봉봉,해태htb,음료,과채음료,238mlx12
붕어빵믹스,오뚜기,식품,프리믹스,1kg
비단박하,해태제과,과자,젤리/캔디,140g
비얀코트리플바닐라&딸기,기타제조사,과자,아이스크림,70g
비쵸비,오리온,과자,비스킷/초콜릿,125g
비타500,광동제약,음료,건강음료,100mlx10
비타500ZERO스파클링,광동제약,음료,건강음료,250ml
비타500ZERO아이스,광동제약,과자,아이스크림,340g
비타500ZERO유자,광동제약,음료,건강음료,250ml
비타500비타민D,광동제약,음료,건강음료,100ml
비타500오리지널,광동제약,음료,건강음료,100ml
비타500이온킥,광동제약,음료,건강음료,250ml
비타500이온킥제로,광동제약,음료,건강음료,500ml
비타500제로스파클링,광동제약,음료,건강음료,250ml
비타500제로스파클링유자,광동제약,음료,건강음료,250ml
비타500제로아이스,광동제약,과자,아이스크림,70g
비타500젤리,광동제약,과자,젤리/캔디,480gx10
비타500치어팩,광동제약,음료,건강음료,250ml
비타ZERO스파클링,기타제조사,과자,스낵,250g
비타ZERO스파클링유자,기타제조사,과자,스낵,250g
비타ZERO이온킥,기타제조사,과자,스낵,250g
비타ZERO치어팩,기타제조사,과자,스낵,250g
비타파워,광동제약,음료,비타민음료,100ml
빅파이딸기,크라운제과,과자,비스킷/쿠키,216g
빈츠,롯데웰푸드,과자,비스킷/초콜릿,102g
빙빙바,기타제조사,과자,아이스크림,75g
빠다코코낫,롯데웰푸드,과자,비스킷/쿠키,100g
빠삐코초코튜브,롯데웰푸드,과자,아이스크림,130g
빵빠레딸기,기타제조사,과자,스낵,70g
빵빠레바닐라,롯데웰푸드,과자,아이스크림,195g
빵빠레블루베리,기타제조사,과자,스낵,70g
빵빠레초코,롯데웰푸드,과자,아이스크림,195g
빼빼로아이스바땅콩,롯데웰푸드,과자,아이스크림,75g
뽀또체다치즈,기타제조사,과자,스낵,139g
뽀또치즈타르트,크라운제과,과자,비스킷/쿠키,161g
사루비아,해태제과,과자,비스킷/쿠키,60g
사브레,해태제과,과자,비스킷/쿠키,252g
사브레초코크렘,해태제과,과자,비스킷/쿠키,204g
산도딸기,크라운제과,과자,비스킷/쿠키,161g
산도크림,크라운제과,과자,비스킷/쿠키,161g
산삼배양근진액,기타제조사,과자,스낵,100g
새콤달콤딸기,크라운제과,과자,젤리/캔디,29gx15
새콤달콤포도,크라운제과,과자,젤리/캔디,29gx15
샌드에이스우유크림,해태제과,과자,비스킷/쿠키,204g
샌드에이스찐초코,해태제과,과자,비스킷/쿠키,204g
샌드에이스크림라떼,해태제과,음료,음료수,204ml
생강쌍화,광동제약,음료,건강음료,120ml
생강쌍화진,광동제약,음료,건강음료,250ml
서주아이스캔디딸기,기타제조사,과자,아이스크림,70g
서주아이스캔디메론,기타제조사,과자,아이스크림,70g
서주아이스캔디바닐라,기타제조사,과자,아이스크림,70g
서주아이스쿨복숭아,기타제조사,과자,아이스크림,70g
서주연유팥빙수,기타제조사,과자,아이스크림,70g
서주우유콘,기타제조사,과자,아이스크림,70g
