item_code,item_name,manufacturer_id,manufacturer_name,category_1,category_2,volume_value,volume_unit,standard_volume,default_pack_qty,difficulty_tier,benchmark_speed_hr
ITM-0141,바이오필스트로베리,MFG-013,매일유업,음료,유제품/요구르트,63,25입 번들,63x25,16,중난이도 (16~31개),180.0
ITM-0142,바이오필파인애플,MFG-013,매일유업,음료,유제품/요구르트,63,25입 번들,63x25,16,중난이도 (16~31개),180.0
ITM-0143,바이오필플레인,MFG-013,매일유업,음료,유제품/요구르트,63,25입 번들,63x25,16,중난이도 (16~31개),180.0
ITM-0144,박카스,MFG-029,동아제약,음료,건강음료/의약외품,100,ml,100ml,100,고난이도 (32개 이상),429.2
ITM-0145,밤+팥양갱,MFG-002,해태제과,과자,젤리/양갱,500,g,500g,10,저난이도 (16개 미만),400.0
ITM-0146,배배,MFG-005,오리온,과자,비스킷/쿠키,80,g,80g,20,중난이도 (16~31개),529.4
ITM-0147,버터링골드,MFG-002,해태제과,과자,비스킷/쿠키,194,g,194g,17,중난이도 (16~31개),461.3
ITM-0148,버터링딥라즈베리,MFG-002,해태제과,과자,비스킷/쿠키,155,g,155g,10,저난이도 (16개 미만),370.4
ITM-0149,버터링딥초코,MFG-002,해태제과,과자,비스킷/쿠키,155,g,155g,11,저난이도 (16개 미만),361.2
ITM-0150,버터링딥피스타치오&아몬드,MFG-002,해태제과,과자,비스킷/쿠키,155,g,155g,16,중난이도 (16~31개),180.0
ITM-0151,버터와플,MFG-006,크라운제과,과자,비스킷/쿠키,135,g,135g,11,저난이도 (16개 미만),435.1
ITM-0152,벌집핏자,MFG-009,농심,과자,스낵,90,g,90g,20,중난이도 (16~31개),387.1
ITM-0153,보석바,MFG-001,롯데웰푸드,과자,아이스크림,80,g,80g,40,고난이도 (32개 이상),510.1
ITM-0154,복숭아봉봉,MFG-014,해태htb,음료,과채음료,238,12입 번들,238x12,72,고난이도 (32개 이상),393.8
ITM-0155,붕어빵믹스,MFG-021,오뚜기,식품,프리믹스,1,KG,1KG,10,저난이도 (16개 미만),500.0
ITM-0156,비단박하,MFG-002,해태제과,과자,젤리/캔디,140,g,140g,20,중난이도 (16~31개),500.0
ITM-0157,비쵸비,MFG-005,오리온,과자,비스킷/초콜릿,125,g,125g,24,중난이도 (16~31개),490.0
ITM-0158,비타파워,MFG-004,광동제약,음료,비타민음료,100,ml,100ml,100,고난이도 (32개 이상),382.4
ITM-0159,빅파이딸기,MFG-006,크라운제과,과자,비스킷/쿠키,216,g,216g,16,중난이도 (16~31개),180.0
ITM-0160,빈츠,MFG-001,롯데웰푸드,과자,비스킷/초콜릿,102,g,102g,18,중난이도 (16~31개),440.4
ITM-0161,빠다코코낫,MFG-001,롯데웰푸드,과자,비스킷/쿠키,100,g,100g,27,중난이도 (16~31개),481.3
ITM-0162,빠삐코초코튜브,MFG-001,롯데웰푸드,과자,아이스크림,130,g,130g,16,중난이도 (16~31개),180.0
ITM-0163,빵빠레바닐라,MFG-001,롯데웰푸드,과자,아이스크림,195,g,195g,16,중난이도 (16~31개),180.0
ITM-0164,빵빠레초코,MFG-001,롯데웰푸드,과자,아이스크림,195,g,195g,16,중난이도 (16~31개),180.0
ITM-0165,뽀또치즈타르트,MFG-006,크라운제과,과자,비스킷/쿠키,161,g,161g,16,중난이도 (16~31개),180.0
ITM-0166,사루비아,MFG-002,해태제과,과자,비스킷/쿠키,60,g,60g,24,중난이도 (16~31개),418.6
ITM-0167,사브레,MFG-002,해태제과,과자,비스킷/쿠키,252,g,252g,17,중난이도 (16~31개),444.3
ITM-0168,사브레초코크렘,MFG-002,해태제과,과자,비스킷/쿠키,204,g,204g,12,저난이도 (16개 미만),471.0
ITM-0169,산도딸기,MFG-006,크라운제과,과자,비스킷/쿠키,161,g,161g,11,저난이도 (16개 미만),416.2
ITM-0170,산도크림,MFG-006,크라운제과,과자,비스킷/쿠키,161,g,161g,10,저난이도 (16개 미만),509.1
ITM-0171,새콤달콤딸기,MFG-006,크라운제과,과자,젤리/캔디,29,15입 번들,29x15,16,중난이도 (16~31개),180.0
ITM-0172,새콤달콤포도,MFG-006,크라운제과,과자,젤리/캔디,29,15입 번들,29x15,31,중난이도 (16~31개),422.6
ITM-0173,샌드에이스우유크림,MFG-002,해태제과,과자,비스킷/쿠키,204,g,204g,16,중난이도 (16~31개),180.0
ITM-0174,샌드에이스찐초코,MFG-002,해태제과,과자,비스킷/쿠키,204,g,204g,12,저난이도 (16개 미만),459.7
ITM-0175,설레임밀크쉐이크,MFG-001,롯데웰푸드,과자,아이스크림,160,g,160g,16,중난이도 (16~31개),180.0
ITM-0176,설레임쿠키앤크림,MFG-001,롯데웰푸드,과자,아이스크림,160,g,160g,24,중난이도 (16~31개),518.5
ITM-0177,셀렉션,MFG-001,롯데웰푸드,과자,아이스크림,500,g,500g,8,저난이도 (16개 미만),512.0
ITM-0178,소보로,MFG-002,해태제과,과자,비스킷/쿠키,60,g,60g,17,중난이도 (16~31개),339.1
ITM-0179,솔틴크래커,MFG-002,해태제과,과자,비스킷/쿠키,141,g,141g,18,중난이도 (16~31개),633.2
ITM-0180,수박바,MFG-001,롯데웰푸드,과자,아이스크림,80,g,80g,40,고난이도 (32개 이상),434.4
ITM-0181,수박바젤리,MFG-001,롯데웰푸드,과자,젤리/캔디,56,g,56g,23,중난이도 (16~31개),497.9
ITM-0182,수박아이스,MFG-001,롯데웰푸드,과자,아이스크림,160,g,160g,16,중난이도 (16~31개),180.0
ITM-0183,수출오감자,MFG-005,오리온,과자,스낵,50,g,50g,16,중난이도 (16~31개),180.0
ITM-0184,수출오감자칠리,MFG-005,오리온,과자,스낵,115,g,115g,16,중난이도 (16~31개),180.0
ITM-0185,수출오땅,MFG-005,오리온,과자,스낵,98,g,98g,16,중난이도 (16~31개),180.0
ITM-0186,수출왕고래볶음,MFG-005,오리온,과자,스낵,56,g,56g,16,중난이도 (16~31개),180.0
ITM-0187,스노위아몬드빼빼로,MFG-001,롯데웰푸드,과자,초콜릿/비스킷,32,g,32g,43,고난이도 (32개 이상),527.0
ITM-0188,스위트콘칩,MFG-006,크라운제과,과자,스낵,100,g,100g,16,중난이도 (16~31개),363.6
ITM-0189,스윙칩볶음,MFG-005,오리온,과자,스낵,124,g,124g,12,저난이도 (16개 미만),600.0
ITM-0190,스윙칩볶음고추장,MFG-005,오리온,과자,스낵,60,g,60g,16,중난이도 (16~31개),180.0
ITM-0191,스카치세가지,MFG-001,롯데웰푸드,과자,젤리/캔디,157,g,157g,20,중난이도 (16~31개),444.4
ITM-0192,스크류바,MFG-001,롯데웰푸드,과자,아이스크림,80,g,80g,40,고난이도 (32개 이상),411.0
ITM-0193,스크류아이스,MFG-001,롯데웰푸드,과자,아이스크림,160,g,160g,16,중난이도 (16~31개),180.0
ITM-0194,신당동떡볶이,MFG-002,해태제과,과자,스낵,110,g,110g,16,중난이도 (16~31개),180.0
ITM-0195,신짱,MFG-022,삼양식품,과자,스낵,120,g,120g,15,저난이도 (16개 미만),417.7
ITM-0196,신쫄이딸기맛,MFG-002,해태제과,과자,젤리/캔디,24,g,24g,16,중난이도 (16~31개),180.0
ITM-0197,신쫄이레몬콜라맛,MFG-002,해태제과,과자,젤리/캔디,24,g,24g,16,중난이도 (16~31개),180.0
ITM-0198,신쫄이미니레몬콜라맛,MFG-002,해태제과,과자,젤리/캔디,52,g,52g,32,고난이도 (32개 이상),266.7
ITM-0199,신쫄이사과맛,MFG-002,해태제과,과자,젤리/캔디,24,g,24g,16,중난이도 (16~31개),180.0
ITM-0200,신쫄이샤인머스캣,MFG-002,해태제과,과자,젤리/캔디,24,g,24g,16,중난이도 (16~31개),180.0
ITM-0201,실론티,MFG-008,롯데칠성음료,음료,차음료,240,ml,240ml,30,중난이도 (16~31개),379.2
ITM-0202,쌀강정,MFG-006,크라운제과,과자,스낵,80,g,80g,20,중난이도 (16~31개),446.8
ITM-0203,쌀대롱,MFG-022,삼양식품,과자,스낵,220,g,220g,14,저난이도 (16개 미만),481.1
ITM-0204,쌀로별,MFG-001,롯데웰푸드,과자,스낵,78,g,78g,14,저난이도 (16개 미만),497.9
ITM-0205,써니텐파인애플,MFG-014,해태htb,음료,탄산음료,1.5,L,1.5L,12,저난이도 (16개 미만),400.0
ITM-0206,써니텐포도,MFG-014,해태htb,음료,탄산음료,1.5,L,1.5L,12,저난이도 (16개 미만),400.0
ITM-0207,썬핫스파이시,MFG-005,오리온,과자,스낵,135,g,135g,16,중난이도 (16~31개),180.0
ITM-0208,씨리얼초코컵,MFG-023,확인필요,과자,초콜릿/비스킷,89,g,89g,16,중난이도 (16~31개),180.0
ITM-0209,아몬드빼빼로,MFG-001,롯데웰푸드,과자,초콜릿/비스킷,32,g,32g,38,고난이도 (32개 이상),618.4
ITM-0210,아몬드빼빼로벌크,MFG-001,롯데웰푸드,과자,초콜릿/비스킷,128,g,128g,9,저난이도 (16개 미만),508.7
ITM-0211,아몬드크래커,MFG-006,크라운제과,과자,비스킷/쿠키,133,g,133g,18,중난이도 (16~31개),458.2
ITM-0212,아이비,MFG-002,해태제과,과자,비스킷/쿠키,155,g,155g,19,중난이도 (16~31개),398.0
ITM-0213,아이스톡복숭아아이스티,MFG-007,자뎅,음료,차음료,230,ml,230ml,16,중난이도 (16~31개),180.0
ITM-0214,아이스톡블루레몬에이드,MFG-007,자뎅,음료,과채/혼합음료,230,ml,230ml,16,중난이도 (16~31개),180.0
ITM-0215,아이스톡블루베리에이드,MFG-007,자뎅,음료,과채/혼합음료,230,ml,230ml,16,중난이도 (16~31개),180.0
ITM-0216,아이스톡석류에이드,MFG-007,자뎅,음료,과채/혼합음료,230,ml,230ml,16,중난이도 (16~31개),180.0
